hour,station,flow,direction,lat,lon
5,松山機場,5,in,25.063,121.551996
6,松山機場,67,in,25.063,121.551996
7,松山機場,310,in,25.063,121.551996
8,松山機場,474,in,25.063,121.551996
9,松山機場,337,in,25.063,121.551996
10,松山機場,250,in,25.063,121.551996
11,松山機場,221,in,25.063,121.551996
12,松山機場,279,in,25.063,121.551996
13,松山機場,315,in,25.063,121.551996
14,松山機場,318,in,25.063,121.551996
15,松山機場,300,in,25.063,121.551996
16,松山機場,311,in,25.063,121.551996
17,松山機場,649,in,25.063,121.551996
18,松山機場,792,in,25.063,121.551996
19,松山機場,368,in,25.063,121.551996
20,松山機場,289,in,25.063,121.551996
21,松山機場,177,in,25.063,121.551996
22,松山機場,127,in,25.063,121.551996
23,松山機場,30,in,25.063,121.551996
0,松山機場,6,in,25.063,121.551996
1,松山機場,0,in,25.063,121.551996
5,中山國中,31,in,25.060849,121.544227
6,中山國中,420,in,25.060849,121.544227
7,中山國中,1229,in,25.060849,121.544227
8,中山國中,1812,in,25.060849,121.544227
9,中山國中,869,in,25.060849,121.544227
10,中山國中,539,in,25.060849,121.544227
11,中山國中,557,in,25.060849,121.544227
12,中山國中,586,in,25.060849,121.544227
13,中山國中,619,in,25.060849,121.544227
14,中山國中,573,in,25.060849,121.544227
15,中山國中,574,in,25.060849,121.544227
16,中山國中,641,in,25.060849,121.544227
17,中山國中,1473,in,25.060849,121.544227
18,中山國中,2681,in,25.060849,121.544227
19,中山國中,1438,in,25.060849,121.544227
20,中山國中,906,in,25.060849,121.544227
21,中山國中,874,in,25.060849,121.544227
22,中山國中,509,in,25.060849,121.544227
23,中山國中,104,in,25.060849,121.544227
0,中山國中,35,in,25.060849,121.544227
1,中山國中,0,in,25.060849,121.544227
5,南京復興,40,in,25.052319,121.544011
6,南京復興,371,in,25.052319,121.544011
7,南京復興,1055,in,25.052319,121.544011
8,南京復興,1633,in,25.052319,121.544011
9,南京復興,1081,in,25.052319,121.544011
10,南京復興,869,in,25.052319,121.544011
11,南京復興,997,in,25.052319,121.544011
12,南京復興,1239,in,25.052319,121.544011
13,南京復興,1298,in,25.052319,121.544011
14,南京復興,1456,in,25.052319,121.544011
15,南京復興,1395,in,25.052319,121.544011
16,南京復興,1785,in,25.052319,121.544011
17,南京復興,4003,in,25.052319,121.544011
18,南京復興,7499,in,25.052319,121.544011
19,南京復興,3845,in,25.052319,121.544011
20,南京復興,2413,in,25.052319,121.544011
21,南京復興,2218,in,25.052319,121.544011
22,南京復興,1283,in,25.052319,121.544011
23,南京復興,438,in,25.052319,121.544011
0,南京復興,87,in,25.052319,121.544011
1,南京復興,0,in,25.052319,121.544011
5,忠孝復興,34,in,25.041629,121.543767
6,忠孝復興,407,in,25.041629,121.543767
7,忠孝復興,1123,in,25.041629,121.543767
8,忠孝復興,1488,in,25.041629,121.543767
9,忠孝復興,1013,in,25.041629,121.543767
10,忠孝復興,932,in,25.041629,121.543767
11,忠孝復興,1134,in,25.041629,121.543767
12,忠孝復興,1534,in,25.041629,121.543767
13,忠孝復興,1979,in,25.041629,121.543767
14,忠孝復興,2306,in,25.041629,121.543767
15,忠孝復興,2632,in,25.041629,121.543767
16,忠孝復興,2988,in,25.041629,121.543767
17,忠孝復興,4193,in,25.041629,121.543767
18,忠孝復興,5565,in,25.041629,121.543767
19,忠孝復興,4370,in,25.041629,121.543767
20,忠孝復興,4035,in,25.041629,121.543767
21,忠孝復興,4963,in,25.041629,121.543767
22,忠孝復興,2461,in,25.041629,121.543767
23,忠孝復興,775,in,25.041629,121.543767
0,忠孝復興,165,in,25.041629,121.543767
1,忠孝復興,1,in,25.041629,121.543767
5,大安,36,in,25.032943,121.543551
6,大安,318,in,25.032943,121.543551
7,大安,841,in,25.032943,121.543551
8,大安,1508,in,25.032943,121.543551
9,大安,760,in,25.032943,121.543551
10,大安,559,in,25.032943,121.543551
11,大安,622,in,25.032943,121.543551
12,大安,684,in,25.032943,121.543551
13,大安,715,in,25.032943,121.543551
14,大安,615,in,25.032943,121.543551
15,大安,768,in,25.032943,121.543551
16,大安,2239,in,25.032943,121.543551
17,大安,3977,in,25.032943,121.543551
18,大安,3959,in,25.032943,121.543551
19,大安,2002,in,25.032943,121.543551
20,大安,1394,in,25.032943,121.543551
21,大安,2417,in,25.032943,121.543551
22,大安,1287,in,25.032943,121.543551
23,大安,207,in,25.032943,121.543551
0,大安,55,in,25.032943,121.543551
1,大安,0,in,25.032943,121.543551
5,科技大樓,30,in,25.026125,121.543437
6,科技大樓,317,in,25.026125,121.543437
7,科技大樓,994,in,25.026125,121.543437
8,科技大樓,1770,in,25.026125,121.543437
9,科技大樓,752,in,25.026125,121.543437
10,科技大樓,410,in,25.026125,121.543437
11,科技大樓,443,in,25.026125,121.543437
12,科技大樓,583,in,25.026125,121.543437
13,科技大樓,516,in,25.026125,121.543437
14,科技大樓,463,in,25.026125,121.543437
15,科技大樓,611,in,25.026125,121.543437
16,科技大樓,745,in,25.026125,121.543437
17,科技大樓,1788,in,25.026125,121.543437
18,科技大樓,2076,in,25.026125,121.543437
19,科技大樓,1126,in,25.026125,121.543437
20,科技大樓,806,in,25.026125,121.543437
21,科技大樓,864,in,25.026125,121.543437
22,科技大樓,720,in,25.026125,121.543437
23,科技大樓,150,in,25.026125,121.543437
0,科技大樓,19,in,25.026125,121.543437
1,科技大樓,0,in,25.026125,121.543437
5,六張犁,29,in,25.023777,121.553115
6,六張犁,403,in,25.023777,121.553115
7,六張犁,1347,in,25.023777,121.553115
8,六張犁,1757,in,25.023777,121.553115
9,六張犁,773,in,25.023777,121.553115
10,六張犁,443,in,25.023777,121.553115
11,六張犁,469,in,25.023777,121.553115
12,六張犁,450,in,25.023777,121.553115
13,六張犁,411,in,25.023777,121.553115
14,六張犁,340,in,25.023777,121.553115
15,六張犁,355,in,25.023777,121.553115
16,六張犁,403,in,25.023777,121.553115
17,六張犁,1058,in,25.023777,121.553115
18,六張犁,1371,in,25.023777,121.553115
19,六張犁,741,in,25.023777,121.553115
20,六張犁,487,in,25.023777,121.553115
21,六張犁,453,in,25.023777,121.553115
22,六張犁,286,in,25.023777,121.553115
23,六張犁,115,in,25.023777,121.553115
0,六張犁,17,in,25.023777,121.553115
1,六張犁,0,in,25.023777,121.553115
5,麟光,26,in,25.018535,121.558791
6,麟光,241,in,25.018535,121.558791
7,麟光,700,in,25.018535,121.558791
8,麟光,919,in,25.018535,121.558791
9,麟光,390,in,25.018535,121.558791
10,麟光,197,in,25.018535,121.558791
11,麟光,166,in,25.018535,121.558791
12,麟光,157,in,25.018535,121.558791
13,麟光,149,in,25.018535,121.558791
14,麟光,123,in,25.018535,121.558791
15,麟光,127,in,25.018535,121.558791
16,麟光,111,in,25.018535,121.558791
17,麟光,207,in,25.018535,121.558791
18,麟光,231,in,25.018535,121.558791
19,麟光,140,in,25.018535,121.558791
20,麟光,120,in,25.018535,121.558791
21,麟光,102,in,25.018535,121.558791
22,麟光,49,in,25.018535,121.558791
23,麟光,25,in,25.018535,121.558791
0,麟光,1,in,25.018535,121.558791
1,麟光,0,in,25.018535,121.558791
5,辛亥,32,in,25.005475,121.557107
6,辛亥,180,in,25.005475,121.557107
7,辛亥,568,in,25.005475,121.557107
8,辛亥,831,in,25.005475,121.557107
9,辛亥,315,in,25.005475,121.557107
10,辛亥,139,in,25.005475,121.557107
11,辛亥,106,in,25.005475,121.557107
12,辛亥,107,in,25.005475,121.557107
13,辛亥,95,in,25.005475,121.557107
14,辛亥,117,in,25.005475,121.557107
15,辛亥,68,in,25.005475,121.557107
16,辛亥,113,in,25.005475,121.557107
17,辛亥,138,in,25.005475,121.557107
18,辛亥,121,in,25.005475,121.557107
19,辛亥,55,in,25.005475,121.557107
20,辛亥,38,in,25.005475,121.557107
21,辛亥,42,in,25.005475,121.557107
22,辛亥,23,in,25.005475,121.557107
23,辛亥,11,in,25.005475,121.557107
0,辛亥,7,in,25.005475,121.557107
1,辛亥,0,in,25.005475,121.557107
5,萬芳醫院,48,in,24.999386,121.558152
6,萬芳醫院,542,in,24.999386,121.558152
7,萬芳醫院,1708,in,24.999386,121.558152
8,萬芳醫院,2580,in,24.999386,121.558152
9,萬芳醫院,975,in,24.999386,121.558152
10,萬芳醫院,598,in,24.999386,121.558152
11,萬芳醫院,601,in,24.999386,121.558152
12,萬芳醫院,668,in,24.999386,121.558152
13,萬芳醫院,599,in,24.999386,121.558152
14,萬芳醫院,483,in,24.999386,121.558152
15,萬芳醫院,612,in,24.999386,121.558152
16,萬芳醫院,958,in,24.999386,121.558152
17,萬芳醫院,1593,in,24.999386,121.558152
18,萬芳醫院,939,in,24.999386,121.558152
19,萬芳醫院,527,in,24.999386,121.558152
20,萬芳醫院,461,in,24.999386,121.558152
21,萬芳醫院,719,in,24.999386,121.558152
22,萬芳醫院,364,in,24.999386,121.558152
23,萬芳醫院,88,in,24.999386,121.558152
0,萬芳醫院,4,in,24.999386,121.558152
1,萬芳醫院,0,in,24.999386,121.558152
5,萬芳社區,9,in,24.998585,121.568102
6,萬芳社區,133,in,24.998585,121.568102
7,萬芳社區,519,in,24.998585,121.568102
8,萬芳社區,636,in,24.998585,121.568102
9,萬芳社區,195,in,24.998585,121.568102
10,萬芳社區,112,in,24.998585,121.568102
11,萬芳社區,80,in,24.998585,121.568102
12,萬芳社區,87,in,24.998585,121.568102
13,萬芳社區,94,in,24.998585,121.568102
14,萬芳社區,83,in,24.998585,121.568102
15,萬芳社區,65,in,24.998585,121.568102
16,萬芳社區,79,in,24.998585,121.568102
17,萬芳社區,133,in,24.998585,121.568102
18,萬芳社區,90,in,24.998585,121.568102
19,萬芳社區,29,in,24.998585,121.568102
20,萬芳社區,32,in,24.998585,121.568102
21,萬芳社區,35,in,24.998585,121.568102
22,萬芳社區,15,in,24.998585,121.568102
23,萬芳社區,6,in,24.998585,121.568102
0,萬芳社區,0,in,24.998585,121.568102
1,萬芳社區,0,in,24.998585,121.568102
5,木柵,14,in,24.998241,121.573145
6,木柵,186,in,24.998241,121.573145
7,木柵,509,in,24.998241,121.573145
8,木柵,724,in,24.998241,121.573145
9,木柵,280,in,24.998241,121.573145
10,木柵,192,in,24.998241,121.573145
11,木柵,234,in,24.998241,121.573145
12,木柵,164,in,24.998241,121.573145
13,木柵,147,in,24.998241,121.573145
14,木柵,138,in,24.998241,121.573145
15,木柵,167,in,24.998241,121.573145
16,木柵,532,in,24.998241,121.573145
17,木柵,692,in,24.998241,121.573145
18,木柵,378,in,24.998241,121.573145
19,木柵,200,in,24.998241,121.573145
20,木柵,105,in,24.998241,121.573145
21,木柵,88,in,24.998241,121.573145
22,木柵,36,in,24.998241,121.573145
23,木柵,5,in,24.998241,121.573145
0,木柵,1,in,24.998241,121.573145
1,木柵,0,in,24.998241,121.573145
5,動物園,3,in,24.998197,121.579338
6,動物園,128,in,24.998197,121.579338
7,動物園,610,in,24.998197,121.579338
8,動物園,737,in,24.998197,121.579338
9,動物園,224,in,24.998197,121.579338
10,動物園,190,in,24.998197,121.579338
11,動物園,145,in,24.998197,121.579338
12,動物園,247,in,24.998197,121.579338
13,動物園,244,in,24.998197,121.579338
14,動物園,307,in,24.998197,121.579338
15,動物園,339,in,24.998197,121.579338
16,動物園,440,in,24.998197,121.579338
17,動物園,640,in,24.998197,121.579338
18,動物園,387,in,24.998197,121.579338
19,動物園,104,in,24.998197,121.579338
20,動物園,112,in,24.998197,121.579338
21,動物園,147,in,24.998197,121.579338
22,動物園,79,in,24.998197,121.579338
23,動物園,17,in,24.998197,121.579338
0,動物園,0,in,24.998197,121.579338
1,動物園,0,in,24.998197,121.579338
5,大直,16,in,25.079477,121.546895
6,大直,217,in,25.079477,121.546895
7,大直,728,in,25.079477,121.546895
8,大直,979,in,25.079477,121.546895
9,大直,438,in,25.079477,121.546895
10,大直,264,in,25.079477,121.546895
11,大直,348,in,25.079477,121.546895
12,大直,406,in,25.079477,121.546895
13,大直,391,in,25.079477,121.546895
14,大直,329,in,25.079477,121.546895
15,大直,522,in,25.079477,121.546895
16,大直,750,in,25.079477,121.546895
17,大直,1373,in,25.079477,121.546895
18,大直,952,in,25.079477,121.546895
19,大直,528,in,25.079477,121.546895
20,大直,513,in,25.079477,121.546895
21,大直,787,in,25.079477,121.546895
22,大直,522,in,25.079477,121.546895
23,大直,100,in,25.079477,121.546895
0,大直,16,in,25.079477,121.546895
1,大直,0,in,25.079477,121.546895
5,劍南路,16,in,25.084853,121.555592
6,劍南路,168,in,25.084853,121.555592
7,劍南路,597,in,25.084853,121.555592
8,劍南路,836,in,25.084853,121.555592
9,劍南路,386,in,25.084853,121.555592
10,劍南路,198,in,25.084853,121.555592
11,劍南路,231,in,25.084853,121.555592
12,劍南路,301,in,25.084853,121.555592
13,劍南路,348,in,25.084853,121.555592
14,劍南路,398,in,25.084853,121.555592
15,劍南路,465,in,25.084853,121.555592
16,劍南路,602,in,25.084853,121.555592
17,劍南路,971,in,25.084853,121.555592
18,劍南路,1304,in,25.084853,121.555592
19,劍南路,740,in,25.084853,121.555592
20,劍南路,560,in,25.084853,121.555592
21,劍南路,711,in,25.084853,121.555592
22,劍南路,513,in,25.084853,121.555592
23,劍南路,103,in,25.084853,121.555592
0,劍南路,14,in,25.084853,121.555592
1,劍南路,0,in,25.084853,121.555592
5,西湖,17,in,25.082133,121.567213
6,西湖,215,in,25.082133,121.567213
7,西湖,553,in,25.082133,121.567213
8,西湖,855,in,25.082133,121.567213
9,西湖,401,in,25.082133,121.567213
10,西湖,236,in,25.082133,121.567213
11,西湖,315,in,25.082133,121.567213
12,西湖,463,in,25.082133,121.567213
13,西湖,457,in,25.082133,121.567213
14,西湖,365,in,25.082133,121.567213
15,西湖,573,in,25.082133,121.567213
16,西湖,972,in,25.082133,121.567213
17,西湖,2008,in,25.082133,121.567213
18,西湖,4374,in,25.082133,121.567213
19,西湖,2541,in,25.082133,121.567213
20,西湖,1241,in,25.082133,121.567213
21,西湖,977,in,25.082133,121.567213
22,西湖,378,in,25.082133,121.567213
23,西湖,131,in,25.082133,121.567213
0,西湖,19,in,25.082133,121.567213
1,西湖,0,in,25.082133,121.567213
5,港墘,18,in,25.080028,121.575081
6,港墘,336,in,25.080028,121.575081
7,港墘,878,in,25.080028,121.575081
8,港墘,1158,in,25.080028,121.575081
9,港墘,515,in,25.080028,121.575081
10,港墘,290,in,25.080028,121.575081
11,港墘,306,in,25.080028,121.575081
12,港墘,387,in,25.080028,121.575081
13,港墘,340,in,25.080028,121.575081
14,港墘,292,in,25.080028,121.575081
15,港墘,344,in,25.080028,121.575081
16,港墘,613,in,25.080028,121.575081
17,港墘,2044,in,25.080028,121.575081
18,港墘,3644,in,25.080028,121.575081
19,港墘,1828,in,25.080028,121.575081
20,港墘,980,in,25.080028,121.575081
21,港墘,741,in,25.080028,121.575081
22,港墘,291,in,25.080028,121.575081
23,港墘,112,in,25.080028,121.575081
0,港墘,15,in,25.080028,121.575081
1,港墘,0,in,25.080028,121.575081
5,文德,11,in,25.078532,121.584761
6,文德,191,in,25.078532,121.584761
7,文德,623,in,25.078532,121.584761
8,文德,764,in,25.078532,121.584761
9,文德,354,in,25.078532,121.584761
10,文德,154,in,25.078532,121.584761
11,文德,153,in,25.078532,121.584761
12,文德,212,in,25.078532,121.584761
13,文德,151,in,25.078532,121.584761
14,文德,109,in,25.078532,121.584761
15,文德,141,in,25.078532,121.584761
16,文德,161,in,25.078532,121.584761
17,文德,426,in,25.078532,121.584761
18,文德,336,in,25.078532,121.584761
19,文德,202,in,25.078532,121.584761
20,文德,133,in,25.078532,121.584761
21,文德,168,in,25.078532,121.584761
22,文德,73,in,25.078532,121.584761
23,文德,13,in,25.078532,121.584761
0,文德,3,in,25.078532,121.584761
1,文德,0,in,25.078532,121.584761
5,內湖,17,in,25.083661,121.594408
6,內湖,482,in,25.083661,121.594408
7,內湖,1290,in,25.083661,121.594408
8,內湖,1411,in,25.083661,121.594408
9,內湖,633,in,25.083661,121.594408
10,內湖,333,in,25.083661,121.594408
11,內湖,303,in,25.083661,121.594408
12,內湖,286,in,25.083661,121.594408
13,內湖,294,in,25.083661,121.594408
14,內湖,251,in,25.083661,121.594408
15,內湖,220,in,25.083661,121.594408
16,內湖,284,in,25.083661,121.594408
17,內湖,462,in,25.083661,121.594408
18,內湖,500,in,25.083661,121.594408
19,內湖,240,in,25.083661,121.594408
20,內湖,200,in,25.083661,121.594408
21,內湖,255,in,25.083661,121.594408
22,內湖,157,in,25.083661,121.594408
23,內湖,36,in,25.083661,121.594408
0,內湖,4,in,25.083661,121.594408
1,內湖,0,in,25.083661,121.594408
5,大湖公園,4,in,25.083845,121.602141
6,大湖公園,204,in,25.083845,121.602141
7,大湖公園,545,in,25.083845,121.602141
8,大湖公園,647,in,25.083845,121.602141
9,大湖公園,295,in,25.083845,121.602141
10,大湖公園,127,in,25.083845,121.602141
11,大湖公園,130,in,25.083845,121.602141
12,大湖公園,122,in,25.083845,121.602141
13,大湖公園,114,in,25.083845,121.602141
14,大湖公園,94,in,25.083845,121.602141
15,大湖公園,106,in,25.083845,121.602141
16,大湖公園,132,in,25.083845,121.602141
17,大湖公園,175,in,25.083845,121.602141
18,大湖公園,162,in,25.083845,121.602141
19,大湖公園,81,in,25.083845,121.602141
20,大湖公園,39,in,25.083845,121.602141
21,大湖公園,42,in,25.083845,121.602141
22,大湖公園,32,in,25.083845,121.602141
23,大湖公園,5,in,25.083845,121.602141
0,大湖公園,2,in,25.083845,121.602141
1,大湖公園,0,in,25.083845,121.602141
5,葫洲,24,in,25.072701,121.607158
6,葫洲,474,in,25.072701,121.607158
7,葫洲,1125,in,25.072701,121.607158
8,葫洲,1301,in,25.072701,121.607158
9,葫洲,689,in,25.072701,121.607158
10,葫洲,347,in,25.072701,121.607158
11,葫洲,308,in,25.072701,121.607158
12,葫洲,365,in,25.072701,121.607158
13,葫洲,248,in,25.072701,121.607158
14,葫洲,193,in,25.072701,121.607158
15,葫洲,214,in,25.072701,121.607158
16,葫洲,425,in,25.072701,121.607158
17,葫洲,938,in,25.072701,121.607158
18,葫洲,671,in,25.072701,121.607158
19,葫洲,395,in,25.072701,121.607158
20,葫洲,228,in,25.072701,121.607158
21,葫洲,201,in,25.072701,121.607158
22,葫洲,94,in,25.072701,121.607158
23,葫洲,30,in,25.072701,121.607158
0,葫洲,2,in,25.072701,121.607158
1,葫洲,0,in,25.072701,121.607158
5,東湖,23,in,25.067147,121.611445
6,東湖,504,in,25.067147,121.611445
7,東湖,1318,in,25.067147,121.611445
8,東湖,1597,in,25.067147,121.611445
9,東湖,700,in,25.067147,121.611445
10,東湖,305,in,25.067147,121.611445
11,東湖,238,in,25.067147,121.611445
12,東湖,317,in,25.067147,121.611445
13,東湖,258,in,25.067147,121.611445
14,東湖,214,in,25.067147,121.611445
15,東湖,166,in,25.067147,121.611445
16,東湖,340,in,25.067147,121.611445
17,東湖,858,in,25.067147,121.611445
18,東湖,536,in,25.067147,121.611445
19,東湖,259,in,25.067147,121.611445
20,東湖,191,in,25.067147,121.611445
21,東湖,280,in,25.067147,121.611445
22,東湖,96,in,25.067147,121.611445
23,東湖,29,in,25.067147,121.611445
0,東湖,2,in,25.067147,121.611445
1,東湖,0,in,25.067147,121.611445
5,南港軟體園區,3,in,25.059905,121.615953
6,南港軟體園區,37,in,25.059905,121.615953
7,南港軟體園區,153,in,25.059905,121.615953
8,南港軟體園區,232,in,25.059905,121.615953
9,南港軟體園區,105,in,25.059905,121.615953
10,南港軟體園區,84,in,25.059905,121.615953
11,南港軟體園區,97,in,25.059905,121.615953
12,南港軟體園區,102,in,25.059905,121.615953
13,南港軟體園區,133,in,25.059905,121.615953
14,南港軟體園區,92,in,25.059905,121.615953
15,南港軟體園區,112,in,25.059905,121.615953
16,南港軟體園區,151,in,25.059905,121.615953
17,南港軟體園區,681,in,25.059905,121.615953
18,南港軟體園區,1261,in,25.059905,121.615953
19,南港軟體園區,684,in,25.059905,121.615953
20,南港軟體園區,303,in,25.059905,121.615953
21,南港軟體園區,179,in,25.059905,121.615953
22,南港軟體園區,57,in,25.059905,121.615953
23,南港軟體園區,16,in,25.059905,121.615953
0,南港軟體園區,0,in,25.059905,121.615953
1,南港軟體園區,0,in,25.059905,121.615953
5,南港展覽館,71,in,25.055288,121.6175001
6,南港展覽館,1494,in,25.055288,121.6175001
7,南港展覽館,3248,in,25.055288,121.6175001
8,南港展覽館,3772,in,25.055288,121.6175001
9,南港展覽館,1960,in,25.055288,121.6175001
10,南港展覽館,1223,in,25.055288,121.6175001
11,南港展覽館,897,in,25.055288,121.6175001
12,南港展覽館,973,in,25.055288,121.6175001
13,南港展覽館,843,in,25.055288,121.6175001
14,南港展覽館,683,in,25.055288,121.6175001
15,南港展覽館,707,in,25.055288,121.6175001
16,南港展覽館,848,in,25.055288,121.6175001
17,南港展覽館,2473,in,25.055288,121.6175001
18,南港展覽館,4273,in,25.055288,121.6175001
19,南港展覽館,2253,in,25.055288,121.6175001
20,南港展覽館,931,in,25.055288,121.6175001
21,南港展覽館,688,in,25.055288,121.6175001
22,南港展覽館,349,in,25.055288,121.6175001
23,南港展覽館,166,in,25.055288,121.6175001
0,南港展覽館,4,in,25.055288,121.6175001
1,南港展覽館,0,in,25.055288,121.6175001
5,小碧潭,13,in,24.971907,121.530339
6,小碧潭,156,in,24.971907,121.530339
7,小碧潭,352,in,24.971907,121.530339
8,小碧潭,310,in,24.971907,121.530339
9,小碧潭,139,in,24.971907,121.530339
10,小碧潭,107,in,24.971907,121.530339
11,小碧潭,78,in,24.971907,121.530339
12,小碧潭,97,in,24.971907,121.530339
13,小碧潭,94,in,24.971907,121.530339
14,小碧潭,85,in,24.971907,121.530339
15,小碧潭,67,in,24.971907,121.530339
16,小碧潭,60,in,24.971907,121.530339
17,小碧潭,391,in,24.971907,121.530339
18,小碧潭,122,in,24.971907,121.530339
19,小碧潭,58,in,24.971907,121.530339
20,小碧潭,35,in,24.971907,121.530339
21,小碧潭,38,in,24.971907,121.530339
22,小碧潭,15,in,24.971907,121.530339
23,小碧潭,7,in,24.971907,121.530339
0,小碧潭,0,in,24.971907,121.530339
1,小碧潭,0,in,24.971907,121.530339
5,新店,72,in,24.957855,121.537584
6,新店,889,in,24.957855,121.537584
7,新店,2051,in,24.957855,121.537584
8,新店,1993,in,24.957855,121.537584
9,新店,814,in,24.957855,121.537584
10,新店,463,in,24.957855,121.537584
11,新店,406,in,24.957855,121.537584
12,新店,473,in,24.957855,121.537584
13,新店,397,in,24.957855,121.537584
14,新店,359,in,24.957855,121.537584
15,新店,365,in,24.957855,121.537584
16,新店,450,in,24.957855,121.537584
17,新店,1099,in,24.957855,121.537584
18,新店,671,in,24.957855,121.537584
19,新店,496,in,24.957855,121.537584
20,新店,415,in,24.957855,121.537584
21,新店,227,in,24.957855,121.537584
22,新店,115,in,24.957855,121.537584
23,新店,45,in,24.957855,121.537584
0,新店,2,in,24.957855,121.537584
1,新店,0,in,24.957855,121.537584
5,新店區公所,70,in,24.967393,121.54131
6,新店區公所,696,in,24.967393,121.54131
7,新店區公所,2036,in,24.967393,121.54131
8,新店區公所,1920,in,24.967393,121.54131
9,新店區公所,919,in,24.967393,121.54131
10,新店區公所,502,in,24.967393,121.54131
11,新店區公所,492,in,24.967393,121.54131
12,新店區公所,509,in,24.967393,121.54131
13,新店區公所,394,in,24.967393,121.54131
14,新店區公所,393,in,24.967393,121.54131
15,新店區公所,357,in,24.967393,121.54131
16,新店區公所,432,in,24.967393,121.54131
17,新店區公所,823,in,24.967393,121.54131
18,新店區公所,674,in,24.967393,121.54131
19,新店區公所,336,in,24.967393,121.54131
20,新店區公所,225,in,24.967393,121.54131
21,新店區公所,208,in,24.967393,121.54131
22,新店區公所,95,in,24.967393,121.54131
23,新店區公所,46,in,24.967393,121.54131
0,新店區公所,3,in,24.967393,121.54131
1,新店區公所,0,in,24.967393,121.54131
5,七張,70,in,24.975169,121.542942
6,七張,858,in,24.975169,121.542942
7,七張,2157,in,24.975169,121.542942
8,七張,2435,in,24.975169,121.542942
9,七張,1082,in,24.975169,121.542942
10,七張,676,in,24.975169,121.542942
11,七張,561,in,24.975169,121.542942
12,七張,645,in,24.975169,121.542942
13,七張,628,in,24.975169,121.542942
14,七張,514,in,24.975169,121.542942
15,七張,522,in,24.975169,121.542942
16,七張,592,in,24.975169,121.542942
17,七張,1520,in,24.975169,121.542942
18,七張,1541,in,24.975169,121.542942
19,七張,705,in,24.975169,121.542942
20,七張,495,in,24.975169,121.542942
21,七張,500,in,24.975169,121.542942
22,七張,253,in,24.975169,121.542942
23,七張,88,in,24.975169,121.542942
0,七張,8,in,24.975169,121.542942
1,七張,0,in,24.975169,121.542942
5,大坪林,53,in,24.982899,121.541352
6,大坪林,850,in,24.982899,121.541352
7,大坪林,2296,in,24.982899,121.541352
8,大坪林,2534,in,24.982899,121.541352
9,大坪林,1130,in,24.982899,121.541352
10,大坪林,694,in,24.982899,121.541352
11,大坪林,720,in,24.982899,121.541352
12,大坪林,825,in,24.982899,121.541352
13,大坪林,784,in,24.982899,121.541352
14,大坪林,696,in,24.982899,121.541352
15,大坪林,656,in,24.982899,121.541352
16,大坪林,1740,in,24.982899,121.541352
17,大坪林,1788,in,24.982899,121.541352
18,大坪林,2551,in,24.982899,121.541352
19,大坪林,1421,in,24.982899,121.541352
20,大坪林,868,in,24.982899,121.541352
21,大坪林,740,in,24.982899,121.541352
22,大坪林,471,in,24.982899,121.541352
23,大坪林,145,in,24.982899,121.541352
0,大坪林,7,in,24.982899,121.541352
1,大坪林,0,in,24.982899,121.541352
5,景美,28,in,24.9921276,121.5406037
6,景美,776,in,24.9921276,121.5406037
7,景美,1723,in,24.9921276,121.5406037
8,景美,2166,in,24.9921276,121.5406037
9,景美,945,in,24.9921276,121.5406037
10,景美,640,in,24.9921276,121.5406037
11,景美,584,in,24.9921276,121.5406037
12,景美,679,in,24.9921276,121.5406037
13,景美,597,in,24.9921276,121.5406037
14,景美,551,in,24.9921276,121.5406037
15,景美,679,in,24.9921276,121.5406037
16,景美,1045,in,24.9921276,121.5406037
17,景美,1669,in,24.9921276,121.5406037
18,景美,1348,in,24.9921276,121.5406037
19,景美,932,in,24.9921276,121.5406037
20,景美,586,in,24.9921276,121.5406037
21,景美,695,in,24.9921276,121.5406037
22,景美,358,in,24.9921276,121.5406037
23,景美,134,in,24.9921276,121.5406037
0,景美,18,in,24.9921276,121.5406037
1,景美,0,in,24.9921276,121.5406037
5,萬隆,20,in,25.001853,121.539051
6,萬隆,585,in,25.001853,121.539051
7,萬隆,1598,in,25.001853,121.539051
8,萬隆,1759,in,25.001853,121.539051
9,萬隆,742,in,25.001853,121.539051
10,萬隆,409,in,25.001853,121.539051
11,萬隆,378,in,25.001853,121.539051
12,萬隆,369,in,25.001853,121.539051
13,萬隆,374,in,25.001853,121.539051
14,萬隆,301,in,25.001853,121.539051
15,萬隆,268,in,25.001853,121.539051
16,萬隆,305,in,25.001853,121.539051
17,萬隆,569,in,25.001853,121.539051
18,萬隆,601,in,25.001853,121.539051
19,萬隆,335,in,25.001853,121.539051
20,萬隆,229,in,25.001853,121.539051
21,萬隆,233,in,25.001853,121.539051
22,萬隆,131,in,25.001853,121.539051
23,萬隆,34,in,25.001853,121.539051
0,萬隆,5,in,25.001853,121.539051
1,萬隆,0,in,25.001853,121.539051
5,公館,65,in,25.014908,121.534216
6,公館,527,in,25.014908,121.534216
7,公館,1278,in,25.014908,121.534216
8,公館,1797,in,25.014908,121.534216
9,公館,892,in,25.014908,121.534216
10,公館,670,in,25.014908,121.534216
11,公館,805,in,25.014908,121.534216
12,公館,1115,in,25.014908,121.534216
13,公館,1160,in,25.014908,121.534216
14,公館,1081,in,25.014908,121.534216
15,公館,1290,in,25.014908,121.534216
