鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
萬華區,建物,臺北市萬華區武昌街二段121~150號,0.0,商,,,1040930,土地0建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0671218,76.36,0,0,0,無,有,無,33000,432,,0.0,0,,RPPNMLMJJIKFFBA86CC
萬華區,建物,臺北市萬華區大理街91~120號,0.0,其他,,,1040930,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960504,160.8,3,2,2,有,有,有,34000,211,坡道平面,38.07,0,,RPVNMLMJJIKFFBA47CC
中正區,建物,臺北市中正區忠孝東路二段134巷1~30號,0.0,住,,,1041028,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0941111,296.91999999999996,3,2,2,有,有,有,136958,461,坡道平面,20.51,0,,RPQPMLMJJIKFFBA17CC
大同區,建物,臺北市大同區承德路三段241~270號,0.0,商,,,1041022,土地0建物1車位1,五層,12,辦公商業大樓,住家用,鋼筋混凝土造,1010918,154.18,0,0,0,無,有,無,56000,363,坡道平面,27.66,0,,RPRPMLMJJIKFFBA27CC
萬華區,建物,臺北市萬華區萬大路211~240號,0.0,住,,,1040930,土地0建物1車位0,全,3,透天厝,,加強磚造,,131.71,0,0,0,無,有,無,78000,592,,0.0,0,,RPWPMLMJJIKFFBA77CC
士林區,建物,臺北市士林區中山北路六段405巷31~60號,0.0,住,,,1041030,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731109,150.77,3,2,2,有,無,有,56000,371,,0.0,0,,RPXNMLMJJIKFFEA97CC
北投區,建物,臺北市北投區尊賢街230巷1~30號,0.0,住,,,1041030,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660114,80.9,3,2,1,有,無,無,16000,198,,0.0,0,,RPOOMLMJJIKFFEA17CC
中山區,建物,臺北市中山區建國北路一段33巷31~60號,0.0,商,,,1041006,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701230,114.09,3,2,2,有,無,有,28000,245,,0.0,0,租金內含管理費,RPQNMLMJJIKFFCA07CC
內湖區,建物,臺北市內湖區內湖路二段253巷31~60號,0.0,住,,,1041028,土地0建物1車位1,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980923,341.03999999999996,3,2,4,有,有,有,150000,440,坡道平面,43.91,0,,RPWNMLMJJIKFFCA67CC
內湖區,建物,臺北市內湖區金豐街31~60號,0.0,商,,,1041031,土地0建物1車位0,二層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0991124,112.36,2,2,1,有,有,有,31000,276,,0.0,0,租金含車位及管理費,RPXNMLMJJIKFFCA77CC
內湖區,建物,臺北市內湖區南京東路六段451巷31~60號,0.0,商,,,1041004,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971205,84.73,1,1,1,有,有,有,25000,295,坡道機械,16.52,0,,RPOOMLMJJIKFFCA96CC
內湖區,土地,潭美段三小段91~120地號,115.0,工,,,1041009,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,15000,130,,0.0,0,,RPQOMLMJJIKFFCA17CC
中山區,建物,臺北市中山區長安東路一段30巷8弄1~30號,0.0,商,,,1041028,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000222,168.09,2,1,2,有,有,有,60000,357,,0.0,0,,RPROMLMJJIKFFCA27CC
中山區,建物,臺北市中山區松江路77巷1~30號,0.0,住,,,1041031,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0931224,60.019999999999996,2,1,2,有,有,無,50000,833,,0.0,0,,RPSOMLMJJIKFFCA37CC
中山區,建物,臺北市中山區長安東路二段211~240號,0.0,商,,,1041023,土地0建物1車位0,二層,12,辦公商業大樓,商業用,鋼筋混凝土造,0740418,122.17999999999999,0,0,0,無,有,無,40000,327,,0.0,0,,RPTOMLMJJIKFFCA47CC
內湖區,建物,臺北市內湖區文德路61~90號,0.0,住,,,1041021,土地0建物1車位1,七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981224,255.08,4,2,2,有,有,有,50000,196,坡道平面,12.38,0,僅租一個車位，車位編號28號，車位樓層5層，管理費6978元/月,RPUOMLMJJIKFFCA57CC
內湖區,建物,臺北市內湖區星雲街168巷1~30號,0.0,住,,,1041006,土地0建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841116,163.17000000000002,3,2,1,有,有,有,34000,208,坡道平面,13.4,0,租金含管理費及車位清潔費,RPWOMLMJJIKFFCA77CC
大安區,建物,臺北市大安區延吉街97巷1~30號,0.0,住,,,1041022,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740722,106.69,3,2,2,有,無,有,39300,368,,0.0,0,租金含管理費,RPQNMLMJJIKFFFA37CC
大安區,房地(土地+建物),臺北市大安區復興南路一段61~90號,18.3,商,,,1040917,土地1建物2車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,,103.59,0,0,0,無,無,無,160000,1545,,0.0,0,,RPRNMLMJJIKFFFA47CC
大安區,建物,臺北市大安區忠孝東路四段91~120號,0.0,商,,,1041030,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,61.42999999999999,2,1,1,有,有,有,48000,781,,0.0,0,,RPWNMLMJJIKFFFA97CC
文山區,建物,臺北市文山區景文街91~120號,0.0,商,,,1041006,土地0建物1車位0,地下層,4,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,,407.02,0,0,0,無,無,有,120000,295,,0.0,0,,RPSNMLMJJIKFFAA07CC
中正區,建物,臺北市中正區南昌路一段24巷1~30號,0.0,住,,,1041018,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970509,67.62,1,1,1,有,有,有,28000,414,,0.0,0,,RPPOMLMJJIKFFAA86CC
中正區,建物,臺北市中正區南昌路二段61~90號,0.0,商,,,1041026,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711111,89.07,2,1,1,有,有,無,25000,281,,0.0,0,,RPQOMLMJJIKFFAA96CC
中正區,建物,臺北市中正區羅斯福路四段121~150號,0.0,商,,,1041012,土地0建物1車位0,一層,4,店面(店鋪),,加強磚造,,76.73,0,0,0,無,無,有,95000,1238,,0.0,0,,RPSOMLMJJIKFFAA17CC
萬華區,建物,臺北市萬華區中華路一段211~240號,0.0,商,,,1041021,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010705,216.11,3,2,1,有,有,無,45000,208,,0.0,0,,RPUOMLMJJIKFFBA57DC
士林區,建物,臺北市士林區士商路121~150號,0.0,住,,,1041022,土地0建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0930504,67.73,0,0,0,無,有,無,39772,587,,0.0,0,租金含代扣繳租賃所得及二代健保,RPQNMLMJJIKFFEA37DC
大安區,房地(土地+建物),臺北市大安區大安路一段16巷1~30號,0.0,住,,,1041029,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0730216,38.9,1,1,1,有,有,無,68200,1753,,0.0,0,租金含代扣繳租賃所得稅。民國104年10月29日起至民國104年11月12日止為免租裝潢期,RPWNMLNJJIKFFFA18DC
大安區,房地(土地+建物),臺北市大安區安和路二段69巷1~30號,0.0,住,,,1041027,土地0建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941201,45.22,1,1,1,有,有,有,22000,487,,0.0,0,租金含代扣繳租賃所得稅。民國104年10月27日至104年10月31日為搬遷期間，不收取租金,RPXNMLNJJIKFFFA28DC
中正區,建物,臺北市中正區寧波西街1~30號,0.0,住,,,1041018,土地0建物1車位0,四層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940607,34.370000000000005,1,1,1,有,有,有,28000,815,,0.0,0,,RPTNMLNJJIKFFAA27CC
中正區,建物,臺北市中正區羅斯福路三段316巷1~30號,0.0,商,,,1041014,土地0建物1車位0,八層,10,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1010626,53.39,1,1,1,有,有,有,28200,528,,0.0,0,租金內含管理費,RPXNMLNJJIKFFAA67CC
大安區,建物,臺北市大安區永康街37巷1~30號,0.0,住,,,1041028,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0611002,64.52,2,1,1,有,有,有,38000,589,,0.0,0,,RPRNMLNJJIKFFFA57CC
大安區,建物,臺北市大安區安和路二段91~120號,6686.0,住,,,1041027,土地0建物1車位1,十五層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780810,228.25,3,2,3,有,有,有,85000,372,坡道平面,18.13,0,,RPTNMLNJJIKFFFA77CC
大安區,建物,臺北市大安區瑞安街208巷35弄1~30號,0.0,住,,,1041021,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820611,80.17,2,2,1,有,有,有,30000,374,,0.0,0,,RPUNMLNJJIKFFFA87CC
大安區,建物,臺北市大安區復興南路二段31~60號,0.0,商,,,1041030,土地0建物1車位0,十二層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0691024,76.44,1,1,1,有,有,有,41000,536,,0.0,0,,RPTOMLNJJIKFFFA87CC
大安區,建物,臺北市大安區安和路二段121~150號,0.0,住,,,1041028,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721114,114.84,2,2,2,有,有,有,42000,366,,0.0,0,,RPUOMLNJJIKFFFA97CC
內湖區,建物,臺北市內湖區金湖路121~150號,0.0,住,,,1041008,土地0建物1車位0,十四層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011121,269.51,3,2,2,有,有,有,130000,482,,0.0,0,租金含管理費及平面車位,RPQNMLNJJIKFFCA17CC
內湖區,建物,臺北市內湖區星雲街121~150號,0.0,住,,,1041027,土地0建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,88.82,2,2,1,有,有,有,33000,372,坡道平面,26.12,0,,RPOOMLNJJIKFFCA07CC
中山區,建物,臺北市中山區基湖路112巷1~30號,0.0,住,,,1041013,土地0建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,0920211,308.14,3,2,2,有,有,有,70000,227,坡道平面,80.58,0,,RPWPMLNJJIKFFCA97CC
中山區,建物,臺北市中山區松江路1~30號,17.25,商,,,1041029,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0720328,164.32,0,0,0,無,有,無,125000,761,,0.0,0,,RPOQMLNJJIKFFCA27CC
內湖區,建物,臺北市內湖區民權東路六段180巷72弄1~30號,0.0,,,,1041030,土地0建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970904,154.31,3,2,2,有,有,有,46000,298,坡道平面,48.3,0,,RPPQMLNJJIKFFCA37CC
中山區,建物,臺北市中山區敬業二路69巷1~30號,0.0,商,,,1041021,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0921121,90.03,3,2,2,有,有,有,65000,722,,0.0,0,,RPQQMLNJJIKFFCA47CC
中山區,建物,臺北市中山區明水路475巷1~30號,0.0,住,,,1041022,土地0建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870122,148.51,1,2,2,有,有,有,55000,370,坡道平面,0.0,0,,RPRQMLNJJIKFFCA57CC
內湖區,房地(土地+建物),臺北市內湖區環山路一段24巷31~60號,23.42,其他,,,1041031,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850805,77.87,1,1,1,有,有,無,20000,257,,0.0,0,,RPSQMLNJJIKFFCA67CC
中山區,建物,臺北市中山區八德路二段61~90號,0.0,住,,,1041027,土地0建物1車位0,三層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,0950323,33.09,1,1,1,有,有,有,23000,695,,0.0,0,,RPVQMLNJJIKFFCA97CC
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1041022,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,90.47,2,1,1,有,有,有,45000,497,,0.0,0,,RPWQMLNJJIKFFCA08CC
中山區,建物,臺北市中山區農安街1~30號,0.0,商,,,1041030,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980622,66.43,1,1,1,有,有,有,39000,587,,0.0,0,,RPORMLNJJIKFFCA37CC
中山區,建物,臺北市中山區中山北路二段16巷1~30號,0.0,商,,,1041101,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610814,188.61,3,2,2,有,有,有,70000,371,,0.0,0,,RPPRMLNJJIKFFCA47CC
中山區,建物,臺北市中山區長春路181~210號,0.0,商,,,1041102,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990324,203.66,4,1,2,有,有,有,63000,309,,0.0,0,,RPQRMLNJJIKFFCA57CC
內湖區,建物,臺北市內湖區康寧路一段271~300號,0.0,住,,,1041030,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801021,39.17,0,0,1,有,有,有,12500,319,,0.0,0,租金內含管理費,RPSRMLNJJIKFFCA77CC
內湖區,建物,臺北市內湖區民權東路六段180巷121~150號,0.0,,,,1041021,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000221,212.87,3,2,2,有,有,有,57718,271,,0.0,0,,RPTRMLNJJIKFFCA87CC
中山區,建物,臺北市中山區新生北路三段1~30號,0.0,商,,,1041004,土地0建物1車位0,十層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0700703,31.770000000000003,1,0,1,有,有,有,11000,346,,0.0,0,,RPVRMLNJJIKFFCA08CC
中山區,建物,臺北市中山區長春路258巷1~30號,0.0,其他,,,1041015,土地0建物1車位0,六層,10,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850924,66.42,1,1,1,有,有,有,25000,376,,0.0,0,,RPWRMLNJJIKFFCA18CC
北投區,建物,臺北市士林區中央北路三段40巷34弄1~30號,0.0,住,,,1041027,土地0建物1車位0,四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010731,147.11,3,2,2,有,無,有,39000,265,,0.0,0,,RPRNMLNJJIKFFEA47CC
北投區,建物,臺北市北投區立農街二段202巷1~30號,0.0,住,,,1041020,土地0建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881130,198.74,4,2,2,有,有,有,45200,227,一樓平面,30.53,0,租金內含車位租金及車位清潔費及機車位清潔費及 管理費,RPPOMLNJJIKFFEA37CC
士林區,建物,臺北市士林區中山北路六段195巷1~30號,0.0,住,,,1041019,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680625,217.65,2,2,1,有,無,有,37000,170,,0.0,0,,RPSOMLNJJIKFFEA67CC
士林區,建物,臺北市士林區後街21巷1~30號,0.0,住,,,1041023,土地0建物1車位0,五層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030618,57.6,1,1,1,有,有,有,27500,477,,0.0,0,,RPVOMLNJJIKFFEA97CC
士林區,房地(土地+建物)+車位,臺北市士林區故宮路1~30號,1550.26,住,,,1041102,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020607,331.61,4,2,3,有,有,有,118000,356,坡道平面,0.0,0,,RPPPMLNJJIKFFEA47CC
士林區,建物,臺北市士林區劍潭路61~90號,0.0,住,,,1041012,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960122,153.0,3,2,2,有,有,有,47000,307,,0.0,0,,RPRPMLNJJIKFFEA67CC
大同區,建物,臺北市大同區酒泉街10巷1~30號,0.0,商,,,1041031,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010403,157.25,3,2,2,有,有,有,45000,286,,0.0,0,,RPQNMLNJJIKFFBA07CC
中正區,建物,臺北市中正區忠孝東路一段61~90號,0.0,商,,,1041015,土地0建物1車位0,十二層,12,辦公商業大樓,住家用,鋼筋混凝土造,0711116,138.82999999999998,3,1,0,有,有,有,90000,648,,0.0,0,建物租金為含稅價。,RPROMLNJJIKFFBA27CC
松山區,建物,臺北市松山區八德路三段158巷20弄1~30號,0.0,住,,,1041029,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661019,147.24,4,2,2,有,有,有,48000,326,,0.0,0,,RPQNMLNJJIKFFDA27CC
松山區,建物,臺北市松山區八德路四段631~660號,0.0,商,,,1041030,土地0建物1車位0,十二層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,1021216,42.61,1,1,1,有,有,有,30000,704,,0.0,0,,RPRNMLNJJIKFFDA37CC
松山區,建物,臺北市松山區八德路四段631~660號,0.0,商,,,1041027,土地0建物1車位0,六層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,1021216,47.72,1,1,1,有,有,有,27000,566,,0.0,0,,RPQOMLNJJIKFFDA37CC
信義區,建物,臺北市信義區忠孝東路五段236巷37弄1~30號,0.0,住,,,1041005,土地0建物1車位0,三層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860515,116.97,1,1,1,有,有,有,40000,342,,0.0,0,,RPROMLNJJIKFFDA47CC
信義區,建物,臺北市信義區永吉路31~60號,0.0,商,,,1041023,土地0建物1車位0,九層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960524,86.25,1,1,1,有,有,有,43000,499,,0.0,0,,RPUPMLNJJIKFFDA87CC
信義區,建物,臺北市信義區基隆路一段37巷1~30號,0.0,住,,,1041030,土地0建物1車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,,47.7,4,2,3,有,無,有,15000,314,,0.0,0,,RPWPMLNJJIKFFDA08CC
松山區,建物,臺北市松山區敦化北路91~120號,0.0,其他,,,1041013,土地0建物1車位0,三層,14,辦公商業大樓,商業用,鋼筋混凝土造,0730211,806.0699999999999,10,1,0,有,無,有,225000,279,,0.0,0,建物租金為含稅價，都市土地使用分區為敦化南北路特定專用區(A區)。,RPXPMLNJJIKFFDA18CC
松山區,建物,臺北市松山區八德路二段331~360號,0.0,商,,,1041022,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980123,76.02,2,1,1,有,有,有,45000,592,,0.0,0,,RPPQMLNJJIKFFDA47CC
信義區,建物,臺北市信義區基隆路一段37巷1~30號,0.0,住,,,1041030,土地0建物1車位0,一層,2,公寓(5樓含以下無電梯),住家用,加強磚造,,47.7,0,0,0,無,無,無,18000,377,,0.0,0,,RPQNMLOJJIKFFDA37CC
信義區,建物,臺北市信義區基隆路一段37巷1~30號,0.0,住,,,1041030,土地0建物1車位0,見其他登記事項,2,其他,住家用,加強磚造,,47.7,2,1,2,有,無,無,10000,210,,0.0,0,,RPRNMLOJJIKFFDA47CC
信義區,房地(土地+建物)+車位,臺北市信義區信義路五段121~150號,300.77,其他,,,1040929,土地2建物1車位1,十四層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0931130,231.67000000000002,2,2,3,有,無,無,160000,691,坡道平面,36.43,0,,RPTNMLOJJIKFFDA67CC
松山區,建物,臺北市松山區復興北路481~510號,0.0,住,,,1041029,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960216,41.42,0,0,0,無,有,有,23000,555,,0.0,0,,RPXNMLOJJIKFFDA08CC
南港區,建物,臺北市南港區興南街151~180號,0.0,住,,,1041004,土地0建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010813,254.32999999999998,4,2,3,有,有,有,55000,216,坡道平面,44.37,0,,RPUOMLOJJIKFFDA87CC
松山區,建物,臺北市松山區民權東路三段106巷3弄61~90號,0.0,住,,,1041020,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740301,124.06,3,2,2,有,有,有,54000,435,,0.0,0,,RPXOMLOJJIKFFDA18CC
大同區,建物,臺北市大同區承德路一段31~60號,0.0,商,,,1041030,土地0建物1車位0,三層,12,辦公商業大樓,商業用,鋼筋混凝土造,0721111,219.97,0,0,0,無,有,無,67000,305,,0.0,0,前兩年租金67000/月，後三年租金72000/月,RPVNMLOJJIKFFBA67CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1041014,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,137.03,3,2,2,有,有,有,70000,511,,0.0,0,,RPOOMLOJJIKFFBA07CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1041017,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,77.10000000000001,2,2,1,有,有,有,53000,687,,0.0,0,含管理費。,RPQOMLOJJIKFFBA27CC
士林區,建物,臺北市士林區忠誠路二段91~120號,0.0,,,,1041030,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750812,142.15,2,2,2,有,無,無,38000,267,,0.0,0,,RPWOMLOJJIKFFEA18CC
北投區,建物,臺北市北投區東華街二段31~60號,0.0,住,,,1041010,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970722,190.87,3,2,2,有,有,有,62000,325,,0.0,0,,RPPPMLOJJIKFFEA57CC
士林區,建物,臺北市士林區天母東路91~120號,0.0,住,,,1041014,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740313,163.47,4,2,2,有,有,有,70000,428,,0.0,0,含管理費。,RPQPMLOJJIKFFEA67CC
中山區,建物,臺北市中山區明水路397巷18弄1~30號,0.0,住,,,1041007,土地0建物1車位2,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960919,181.37,3,2,2,有,有,有,120000,662,坡道平面,64.06,0,,RPQNMLOJJIKFFCA27CC
內湖區,建物,臺北市內湖區康寧路一段271~300號,0.0,住,,,1041006,土地0建物1車位0,十一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0801021,40.489999999999995,1,0,1,有,有,有,15000,370,,0.0,0,,RPTPMLOJJIKFFCA77CC
內湖區,建物,臺北市內湖區瑞光路253巷1~30號,0.0,住,,,1041015,土地0建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860214,112.03,3,2,2,有,無,有,38000,339,,0.0,0,,RPUPMLOJJIKFFCA87CC
中山區,建物,臺北市中山區雙城街18巷1~30號,0.0,商,,,1041015,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951031,80.58,2,2,1,有,有,有,30000,372,,0.0,0,,RPVPMLOJJIKFFCA97CC
中山區,建物,臺北市中山區雙城街13巷1~30號,0.0,商,,,1041017,土地0建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010327,209.44,3,2,2,有,有,有,100000,477,,0.0,0,含管理費,RPXPMLOJJIKFFCA18CC
中山區,建物,臺北市中山區中山北路二段65巷1~30號,0.0,商,,,1041019,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,81.22999999999999,2,2,1,有,有,有,40000,492,,0.0,0,,RPOQMLOJJIKFFCA37CC
